"AN";"PD";"CR";"LA";"BY";"IP";"RE";"CO";"NS";"KW";"WC";"HD"
"131";"AFNWS00020221110eiba00008";2022-11-10;"African Arguments";"Anglais";"Meera Venkatachalam and Dan Banik";"analysis";"india  africaz  delhi  asiaz  bric  devgcoz  dvpcoz  indsubz  sasiaz ";"unscou ";"gdip  gcat  gpir ";"india  africaz  delhi  asiaz  bric  devgcoz  dvpcoz  indsubz  sasiaz  unscou  gdip  gcat  gpir ";1303;"India in Africa - The Changing Face of South-South Cooperation"
"132";"AFNWS00020221015eiaf0008t";2022-10-15;"Voice of America";"Anglais";"Kate Bartlett";"Johannesburg, South Africa | news";"africaz  china  safr  apacz  asiaz  bric  chinaz  devgcoz  dvpcoz  easiaz  souafrz ";"oblrve ";"gdip  gcat  gvexe  gpol  gpir  gvbod ";"africaz  china  safr  apacz  asiaz  bric  chinaz  devgcoz  dvpcoz  easiaz  souafrz  oblrve  gdip  gcat  gvexe  gpol  gpir  gvbod ";1044;"China Party Congress - What Would Xi Third Term Mean for Africa?"
"133";"AFNWS00020221013eiad00008";2022-10-13;"Institute for Security Studies";"Anglais";"Cobus Van Staden";"analysis";"china  africaz  apacz  asiaz  bric  chinaz  devgcoz  dvpcoz  easiaz ";"";"ccat ";"china  africaz  apacz  asiaz  bric  chinaz  devgcoz  dvpcoz  easiaz   ccat ";1080;"Africa Should Take the Driving Seat in Its China Dealings"
"134";"AFNWS00020221011eiab001e4";2022-10-11;"African Arguments";"Anglais";"Africa Climate Justice Collective";"analysis";"africaz  safr  eafrz  bric  devgcoz  dvpcoz  souafrz ";"";"ccat ";"africaz  safr  eafrz  bric  devgcoz  dvpcoz  souafrz   ccat ";1102;"What African Governments Must Fight for At COP27"
"135";"AFNWS00020221005eia5000xg";2022-10-05;"Vanguard";"Anglais";"Gabriel Ewepu";"news | Nigeria";"nigea  africaz  glasg  dvpcoz  eurz  scot  uk  wafrz  weurz ";"twban ";"gclimt  gsci  gcoseq  ecat  gairp  gcat  genv  gglobe  gqual ";"nigea  africaz  glasg  dvpcoz  eurz  scot  uk  wafrz  weurz  twban  gclimt  gsci  gcoseq  ecat  gairp  gcat  genv  gglobe  gqual ";1091;"Climate Change Crisis - Glasgow Team, Climate Activists Accuse World Bank of Providing $12bn for Fossil Fuels Projects in 35 Countries"
"136";"AFNWS00020220912ei9c00106";2022-09-12;"UN News Service";"Anglais";"";"news";"dvpcoz ";"utdnat ";"gdip  gcat  gpir ";"dvpcoz  utdnat  gdip  gcat  gpir ";510;"'Solutions Lie in Solidarity' UN Chief Says On South-South Cooperation Day"
"137";"AFNWS00020220909ei9900007";2022-09-09;"Inter Press Service";"Anglais";"Juliet Morrison";"United Nations | news";"africaz  dvpcoz ";"whoz ";"gout  gsars  gimmu  gmosq  gglobe  gcat  gcold  ghea  gmed  gspox  gtrea ";"africaz  dvpcoz  whoz  gout  gsars  gimmu  gmosq  gglobe  gcat  gcold  ghea  gmed  gspox  gtrea ";1256;"Inequitable Global Health Responses Underscore Need for More Self-Sufficiency in Developing Countries"
"138";"AFNWS00020220803ei830015s";2022-08-03;"Premium Times";"Anglais";"Chiamaka Okafor";"interview | Nigeria";"nigea  russ  eecz  africaz  asiaz  bric  devgcoz  dvpcoz  eeurz  eurz  ussrz  wafrz ";"euruno ";"gdip  nitv  gcat  gpir  ncat  nfact  nfcpex ";"nigea  russ  eecz  africaz  asiaz  bric  devgcoz  dvpcoz  eeurz  eurz  ussrz  wafrz  euruno  gdip  nitv  gcat  gpir  ncat  nfact  nfcpex ";2192;"EU Makes Offers to Nigeria to Drive LNG Supply to Replace Russian Gas"
"139";"AFNWS00020220623ei6n000jw";2022-06-23;"The Conversation Africa";"Anglais";"Orla Quinlan";"analysis";"uk  safr  africaz  bric  devgcoz  dvpcoz  eurz  souafrz  weurz ";"govgb ";"guni  gimm  c22  ccat  cexpro  gcat  gedu  gpir  ncat  nfact  nfcpin ";"uk  safr  africaz  bric  devgcoz  dvpcoz  eurz  souafrz  weurz  govgb  guni  gimm  c22  ccat  cexpro  gcat  gedu  gpir  ncat  nfact  nfcpin ";999;"UK Work Visa for Elite Graduates Is Exclusive and Based On Flawed Assumptions"
"140";"AFNWS00020220524ei5o000ry";2022-05-24;"allAfrica.com";"Anglais";"Nontobeko Mlambo";"Johannesburg | news";"camer  safr  africaz  bric  ceafrz  devgcoz  dvpcoz  souafrz ";"";"gracm  gcat  gcom  gdcri  ghum  gsoc ";"camer  safr  africaz  bric  ceafrz  devgcoz  dvpcoz  souafrz   gracm  gcat  gcom  gdcri  ghum  gsoc ";904;"How Structural Racism Shows Up In Peacebuilding Processes"
"141";"AFNWS00020220518ei5i000uq";2022-05-18;"Vanguard";"Anglais";"";"news | Nigeria";"kenya  africaz  nigea  dvpcoz  eafrz  wafrz ";"afriu ";"gvexe  gclimt  gdip  gpov  gcat  gcom  genv  gglobe  gpir  gpol  gsoc  gvbod ";"kenya  africaz  nigea  dvpcoz  eafrz  wafrz  afriu  gvexe  gclimt  gdip  gpov  gcat  gcom  genv  gglobe  gpir  gpol  gsoc  gvbod ";672;"Africities Summit - Kenyatta, Kerry, Lulu-Briggs, Others Seek More Action On Climate Change"
"142";"AFNWS00020220514ei5e00009";2022-05-14;"Inter Press Service";"Anglais";"Martin Schulz";"Berlin | analysis";"ukrn  eurz  russ  eecz  asiaz  bric  devgcoz  dvpcoz  eeurz  ussrz ";"";"gvio  gdip  gcat  gcns  gpir  grisk ";"ukrn  eurz  russ  eecz  asiaz  bric  devgcoz  dvpcoz  eeurz  ussrz   gvio  gdip  gcat  gcns  gpir  grisk ";1720;"The Time to Support the Global South Is Now"
"143";"AFNWS00020220512ei5c001pf";2022-05-12;"New Frame";"Anglais";"Nontobeko Hlela";"news";"safr  russ  ukrn  africaz  asiaz  bric  devgcoz  dvpcoz  eeurz  eurz  souafrz  ussrz ";"ungass ";"gdip  gcat  gpir ";"safr  russ  ukrn  africaz  asiaz  bric  devgcoz  dvpcoz  eeurz  eurz  souafrz  ussrz  ungass  gdip  gcat  gpir ";1133;"Why Non-Alignment Is Urgent for the Global South"
"144";"AFNWS00020220504ei5400033";2022-05-04;"Inter Press Service";"Anglais";"Jomo Kwame Sundaram";"Kuala Lumpur, Malaysia | news";"africaz  icst  kuala  apacz  asiaz  devgcoz  dvpcoz  malay  seasiaz  wafrz ";"";"gbook  gcat  gent ";"africaz  icst  kuala  apacz  asiaz  devgcoz  dvpcoz  malay  seasiaz  wafrz   gbook  gcat  gent ";1117;"Out of Africa - Rich Continent, Poor People"
"145";"AFNWS00020220503ei53001e1";2022-05-03;"University of Cape Town";"Anglais";"";"news | South Africa";"safr  africaz  bric  devgcoz  dvpcoz  souafrz ";"uocapt ";"gcens  ghum  gcat  gcom ";"safr  africaz  bric  devgcoz  dvpcoz  souafrz  uocapt  gcens  ghum  gcat  gcom ";1385;"Information Disorder - Report Harnesses Global South Responses"
"146";"AFNWS00020220407ei47000bt";2022-04-07;"The Conversation Africa";"Anglais";"Herman Wasserman";"analysis";"africaz ";"";"gpol  gcat  gpir ";"africaz   gpol  gcat  gpir ";1032;"Lessons From the Global South On How to Counter Harmful Information"
"147";"AFNWS00020220321ei3l000rz";2022-03-21;"Thomson Reuters Foundation";"Anglais";"Justin Locke and Francis Elisha";"opinion";"ukrn  africaz  dvpcoz  eeurz  eurz ";"";"gdip  gcat  gpir ";"ukrn  africaz  dvpcoz  eeurz  eurz   gdip  gcat  gpir ";920;"Ukraine Invasion Shows Urgency of Renewables Shift for Global South"
"148";"AFNWS00020220218ei2i000bf";2022-02-18;"African Arguments";"Anglais";"Charity Migwi & Omar Elmawi";"analysis";"zaire  mozam  africaz  ceafrz  dvpcoz  eafrz ";"fdp ";"gclimt  gcat  genv  gglobe ";"zaire  mozam  africaz  ceafrz  dvpcoz  eafrz  fdp  gclimt  gcat  genv  gglobe ";886;"Why What's Good for TotalEnergies Is Bad for the Rest of Us"
"149";"AFNWS00020211224ehco000dx";2021-12-24;"AfricaFocus";"Anglais";"";"news";"usa  africaz  usdc  namz  uss ";"oecode ";"gdip  gteva  e11  ecat  gcat  gcrim  gfinc  gfraud  gpir  ncat  nfact  nfcpex ";"usa  africaz  usdc  namz  uss  oecode  gdip  gteva  e11  ecat  gcat  gcrim  gfinc  gfraud  gpir  ncat  nfact  nfcpex ";4767;"USA/Africa - Pandora Papers Keep Giving"
"150";"AFNWS00020211224ehco0008g";2021-12-24;"Oxfam International";"Anglais";"";"news";"africaz  uk  eecz  eurz  weurz ";"euruno ";"gsars  gout  gimmu  gcat  gcold  ghea  gmed  gspox  gtrea ";"africaz  uk  eecz  eurz  weurz  euruno  gsars  gout  gimmu  gcat  gcold  ghea  gmed  gspox  gtrea ";953;"Rich Countries Have Received More Vaccines in Run-Up to Christmas Than African Countries Have All Year"
"151";"AFNWS00020211208ehc8000jm";2021-12-08;"The Conversation Africa";"Anglais";"Alison Gillwald and Rachel Adams";"analysis";"africaz ";"";"gaiml  gcsci  gcat  gsci ";"africaz   gaiml  gcsci  gcat  gsci ";1166;"Artificial Intelligence Carries a Huge Upside. But Potential Harms Need to Be Managed"
"152";"AFNWS00020211202ehc2001jo";2021-12-02;"University of Cape Town";"Anglais";"";"news | South Africa";"safr  africaz  bric  devgcoz  dvpcoz  souafrz ";"uocapt  unescu  utdnat ";"guni  gedu  gout  gsars  gcancr  gcat  gcold  ghea  gmed  gspox ";"safr  africaz  bric  devgcoz  dvpcoz  souafrz  uocapt  unescu  utdnat  guni  gedu  gout  gsars  gcancr  gcat  gcold  ghea  gmed  gspox ";1001;"Unesco Chair in Open Education Resources for Glenda Cox"
"153";"AFNWS00020211125ehbp000be";2021-11-25;"AfricaFocus";"Anglais";"";"news";"africaz  glasg  eurz  scot  uk  weurz ";"warow ";"";"africaz  glasg  eurz  scot  uk  weurz  warow  ";4935;"Africa/Global - From Climate Denial to Deceit and Delay"
"154";"AFNWS00020211122ehbm001c7";2021-11-22;"New Frame";"Anglais";"Alex Lenferna";"analysis | South Africa";"safr  uk  africaz  bric  devgcoz  dvpcoz  eurz  souafrz  weurz ";"";"gclimt  gcat  genv  gglobe ";"safr  uk  africaz  bric  devgcoz  dvpcoz  eurz  souafrz  weurz   gclimt  gcat  genv  gglobe ";2496;"SA's Climate-Finance Deal - Opportunity or Trap?"
"155";"AFNWS00020211114ehbe0002x";2021-11-14;"African Arguments";"Anglais";"Aderonke Ige";"analysis";"nigea  africaz  dvpcoz  wafrz ";"";"gpol  gcat  gpir ";"nigea  africaz  dvpcoz  wafrz   gpol  gcat  gpir ";913;"We Need a People-Centred COP26. Instead, We Have an Elite Marketplace"
"156";"AFNWS00020211026ehaq000ji";2021-10-26;"The Conversation Africa";"Anglais";"Hamid Mehmood";"analysis";"africaz ";"unuivs ";"gflood  gdis  gcat  gntdis  grisk ";"africaz  unuivs  gflood  gdis  gcat  gntdis  grisk ";971;"New Tools to Map Flood Risk Will Help Bring Disaster Planning Up to Date"
"157";"AFNWS00020211022eham0002z";2021-10-22;"Inter Press Service";"Anglais";"Ed Holt";"Bratislava | news";"dvpcoz ";"oecode ";"ccptax  gout  gsars  e11  ecat  c13  ccat  gcat  gcold  ghea  gmed  gspox  ncat  nfact  nfcpin ";"dvpcoz  oecode  ccptax  gout  gsars  e11  ecat  c13  ccat  gcat  gcold  ghea  gmed  gspox  ncat  nfact  nfcpin ";1328;"Fair Tax Plan Could Prejudice Global South"
"158";"AFNWS00020211005eha5001e3";2021-10-05;"Premium Times";"Anglais";"";"press release | Nigeria";"nigea  africaz  dvpcoz  wafrz ";"";"gwori  gsexd  gaffm  gcat  gcom  gdcri  ghum  gsoc ";"nigea  africaz  dvpcoz  wafrz   gwori  gsexd  gaffm  gcat  gcom  gdcri  ghum  gsoc ";384;"Co-Impact Fund to Advance Gender Equality, Women's Leadership"
"159";"AFNWS00020210930eh9u000mn";2021-09-30;"The Conversation Africa";"Anglais";"Imraan Valodia";"analysis";"africaz ";"";"gsust  gcat  genv ";"africaz   gsust  gcat  genv ";1102;"How to Ensure Global Debates About Inequality Are Informed By Views From Developing Countries"
"160";"AFNWS00020210928eh9s0008v";2021-09-28;"Inter Press Service";"Anglais";"Hamid Mehmood";"Hamilton, Ontario, Canada | opinion";"cana  namz ";"";"gnrsca  gdroug  gcat  gdis  genv  gntdis  grisk  gwea ";"cana  namz   gnrsca  gdroug  gcat  gdis  genv  gntdis  grisk  gwea ";768;"Data Drought in the Global South"
"161";"AFNWS00020210918eh9i000e6";2021-09-18;"Food and Agriculture Organization of the United Nations";"Anglais";"";"Rome | news";"italy  eecz  eurz  medz  weurz ";"foodao  intfag  wfoop ";"gdip  gsust  gcat  genv  gpir ";"italy  eecz  eurz  medz  weurz  foodao  intfag  wfoop  gdip  gsust  gcat  genv  gpir ";978;"Voices of the Global South for Cooperation Towards Agrifood Systems Transformation"
"162";"AFNWS00020210917eh9h00193";2021-09-17;"Inter Press Service";"Anglais";"Jens Martens";"Bonn, Germany | analysis";"eecz  usa  eurz  namz ";"";"gout  gsars  ghnwi  ghum  gcat  gcold  gcom  ghea  gmed  gspox ";"eecz  usa  eurz  namz   gout  gsars  ghnwi  ghum  gcat  gcold  gcom  ghea  gmed  gspox ";1637;"Covid-19 Recovery Requires Justice Beyond Rhetoric"
"163";"AFNWS00020210911eh9b000jh";2021-09-11;"Inter Press Service";"Anglais";"Adel Abdellatif";"United Nations | opinion";"africaz ";"ungass  utdnat ";"gsars  gout  gdip  gsust  gcat  gcold  genv  ghea  gmed  gpir  gspox ";"africaz  ungass  utdnat  gsars  gout  gdip  gsust  gcat  gcold  genv  ghea  gmed  gpir  gspox ";1300;"South-South & Triangular Cooperation to Help Achieve UN's Development Goals"
"164";"AFNWS00020210909eh99001mp";2021-09-09;"Thomson Reuters Foundation";"Anglais";"Beh Lih Yi";"news";"scot  uk  eurz  weurz ";"clcwki ";"gclimt  gout  gsars  gimmu  gcat  gcold  genv  gglobe  ghea  gmed  gspox  gtrea ";"scot  uk  eurz  weurz  clcwki  gclimt  gout  gsars  gimmu  gcat  gcold  genv  gglobe  ghea  gmed  gspox  gtrea ";871;"Climate Groups Call for COP26 Summit Delay Over Vaccines, Costs"
"165";"AFNWS00020210907eh97001s6";2021-09-07;"263Chat";"Anglais";"";"news | Zimbabwe";"uk  zimbab  africaz  dvpcoz  eurz  souafrz  weurz ";"";"gclimt  gdip  gcat  genv  gglobe  gpir ";"uk  zimbab  africaz  dvpcoz  eurz  souafrz  weurz   gclimt  gdip  gcat  genv  gglobe  gpir ";609;"Calls for COP26 Postponement Grow Louder"
"166";"AFNWS00020210902eh92001pm";2021-09-02;"New Frame";"Anglais";"Françoise Vergès";"analysis | South Africa";"safr  africaz  bric  devgcoz  dvpcoz  souafrz ";"";"gwori  gcat  gbook  ghum  gcom  gent ";"safr  africaz  bric  devgcoz  dvpcoz  souafrz   gwori  gcat  gbook  ghum  gcom  gent ";2759;"New Books - Decolonising Feminism"
"167";"AFNWS00020210719eh7j001ej";2021-07-19;"Premium Times";"Anglais";"Oladeinde Olawoyin";"news | Nigeria";"nigea  africaz  dvpcoz  wafrz ";"acnnig  oecode ";"gdip  gcat  gpir ";"nigea  africaz  dvpcoz  wafrz  acnnig  oecode  gdip  gcat  gpir ";703;"ActionAid Backs Nigerian Govt's Rejection of New Global Tax Deal"
"168";"AFNWS00020210719eh7j00069";2021-07-19;"Daily Trust";"Anglais";"Abbas Jimoh";"news | Nigeria";"nigea  africaz  dvpcoz  wafrz ";"acnnig  oecode ";"e211  e21  ecat ";"nigea  africaz  dvpcoz  wafrz  acnnig  oecode  e211  e21  ecat ";657;"ActionAid Back Govt's Stance On Int'l Tax Negotiation"
"169";"AFNWS00020210717eh7h000mh";2021-07-17;"Inter Press Service";"Anglais";"Anis Chowdhury and Jomo Kwame Sundaram";"Sydney and Kuala Lumpur | opinion";"dvpcoz  eecz  nswals  apacz  ausnz  austr  eurz ";"wto ";"gimmu  cgymtr  gout  gsars  ccat  gcat  gcold  ghea  gmed  gspox  gtrea ";"dvpcoz  eecz  nswals  apacz  ausnz  austr  eurz  wto  gimmu  cgymtr  gout  gsars  ccat  gcat  gcold  ghea  gmed  gspox  gtrea ";913;"Rich Country Hypocrisy Exposed By Vaccine Inequities"
"170";"AFNWS00020210616eh6g001p5";2021-06-16;"The Conversation Africa";"Anglais";"Andrew Emmanuel Okem, Catherine Sutherland|| Debra Roberts|| Marlies H Craig|| Michelle A. North|| Nina Hunter and Rob Slotow";"analysis";"africaz ";"reut  intth  wodb ";"gclimt  gsci  gglobe  gcat  genv ";"africaz  reut  intth  wodb  gclimt  gsci  gglobe  gcat  genv ";939;"Reuters' Hot List of Climate Scientists Is Geographically Skewed - Why This Matters"
"171";"AFNWS00020210614eh6e000vs";2021-06-14;"AfricaFocus";"Anglais";"";"news";"usa  namz ";"";"gpol  genv  gcat  gpir ";"usa  namz   gpol  genv  gcat  gpir ";4082;"USA/Global - Bad Days for Big Oil (Except in the GOP)"
"172";"AFNWS00020210614eh6e0005u";2021-06-14;"AfricaFocus";"Anglais";"";"news";"usa  namz ";"exxn ";"gclimt  genv  gcat  gglobe ";"usa  namz  exxn  gclimt  genv  gcat  gglobe ";4133;"Usa/Global - Bad Days for Big Oil (Except in the GOP)"
"173";"AFNWS00020210604eh64000np";2021-06-04;"The Conversation Africa";"Anglais";"Gareth Haysom, Jonathan Crush and Prof. Bruce Frayne";"analysis";"africaz ";"";"gbook  gfdsec  gcat  gcom  gent ";"africaz   gbook  gfdsec  gcat  gcom  gent ";765;"Food Security in African Cities Needs a Fresh Approach - Our Book Sets Out the Issues"
"174";"AFNWS00020210526eh5q000n8";2021-05-26;"The Conversation Africa";"Anglais";"Leila Patel";"analysis";"africaz ";"";"gsars  gout  gpov  gglobe  gcat  gcold  gcom  ghea  gmed  gsoc  gspox ";"africaz   gsars  gout  gpov  gglobe  gcat  gcold  gcom  ghea  gmed  gsoc  gspox ";1094;"Covid-19 - Global South Responses Have Shown Up Social Policy Challenges - and Strengths"
"175";"AFNWS00020210414eh4e0010j";2021-04-14;"FrontPageAfrica";"Anglais";"Alfred P. B. Kiadii";"Forty | analysis | Liberia";"liber  africaz  dvpcoz  wafrz ";"";"ghist  gpol  gcat  gpir  gsci ";"liber  africaz  dvpcoz  wafrz   ghist  gpol  gcat  gpir  gsci ";2963;"April 14th the Historic Turning Point in Liberian Politics"
"176";"AFNWS00020210319eh3j000o5";2021-03-19;"Inter Press Service";"Anglais";"Branislav Gosovic";"Geneva | opinion";"dvpcoz  switz  genev  dach  eurz  weurz ";"uncftr ";"";"dvpcoz  switz  genev  dach  eurz  weurz  uncftr  ";1586;"A Global South Organization - a Sine Qua Non for Developing Nations' Influence in World Arena"
"177";"AFNWS00020210305eh350010f";2021-03-05;"Government of South Africa";"Anglais";"";"press release | South Africa";"cuba  safr  africaz  bric  caribz  devgcoz  dvpcoz  lamz  souafrz ";"";"gvexe  gsars  gcat  gout  gpol  gcold  ghea  gmed  gpir  gspox  gvbod ";"cuba  safr  africaz  bric  caribz  devgcoz  dvpcoz  lamz  souafrz   gvexe  gsars  gcat  gout  gpol  gcold  ghea  gmed  gpir  gspox  gvbod ";1349;"Minister Naledi Pandor - Parliamentary Debate On Cuban Doctors in South Africa"
"178";"AFNWS00020210222eh2m000gz";2021-02-22;"Daily Trust";"Anglais";"Nasir Yammama";"opinion | Nigeria";"dvpcoz  nigea  africaz  wafrz ";"ungass  utdnat ";"gfamin  gdip  gcat  gdis  gntdis  gpir  grisk ";"dvpcoz  nigea  africaz  wafrz  ungass  utdnat  gfamin  gdip  gcat  gdis  gntdis  gpir  grisk ";909;"Achieving Progress in Agricultural Transformation"
"179";"AFNWS00020210205eh25001gw";2021-02-05;"University of Cape Town";"Anglais";"";"news";"africaz ";"uocapt ";"gbook  guni  gcat  gedu  gent ";"africaz  uocapt  gbook  guni  gcat  gedu  gent ";564;"Herman Wasserman, Kharnita Mohamed Honoured With Book Awards"
"180";"AFNWS00020210202eh220010k";2021-02-02;"New Frame";"Anglais";"Tebadi Mmotla, Anastasya Eliseeva";"analysis | South Africa";"eecz  safr  africaz  bric  devgcoz  dvpcoz  eurz  souafrz ";"zenec ";"gsars  gout  gimmu  cpshrt  c21  ccat  cexpro  gcat  gcold  ghea  gmed  gspox  gtrea ";"eecz  safr  africaz  bric  devgcoz  dvpcoz  eurz  souafrz  zenec  gsars  gout  gimmu  cpshrt  c21  ccat  cexpro  gcat  gcold  ghea  gmed  gspox  gtrea ";1976;"The Scarcity and Expense of Covid-19 Vaccines"
"181";"AFNWS00020210126eh1q001ea";2021-01-26;"University of Cape Town";"Anglais";"";"news | South Africa";"safr  africaz  bric  devgcoz  dvpcoz  souafrz ";"intdrc  uocapt ";"gsars  gcat  gcold  ghea  gmed  gspox ";"safr  africaz  bric  devgcoz  dvpcoz  souafrz  intdrc  uocapt  gsars  gcat  gcold  ghea  gmed  gspox ";960;"UCT's Herman Wasserman Leads Global Study On Disinformation"
"182";"AFNWS00020201216egcg000uq";2020-12-16;"The Conversation Africa";"Anglais";"Ramya Vijaya";"analysis";"dvpcoz  africaz ";"imonf ";"gsars  gout  e11  e1101  ecat  gcat  gcold  ghea  gmed  gspox ";"dvpcoz  africaz  imonf  gsars  gout  e11  e1101  ecat  gcat  gcold  ghea  gmed  gspox ";984;"Covid-19 Further Exposes Inequalities in the Global Financial System"
"183";"AFNWS00020201204egc40019a";2020-12-04;"Human Rights Watch";"Anglais";"";"news";"africaz ";"hrwny ";"gspo  gwori  ghum  grape  gcat  gcom  gcrim  ncat  nfact  nfce  nrgn ";"africaz  hrwny  gspo  gwori  ghum  grape  gcat  gcom  gcrim  ncat  nfact  nfce  nrgn ";1258;"End Abusive Sex Testing for Women Athletes - Tests Violate Rights, Ruin Lives"
"184";"AFNWS00020201201egc10015y";2020-12-01;"263Chat";"Anglais";"Donald Nyarota";"news | Zimbabwe";"africaz  zimbab  dvpcoz  souafrz ";"";"gclimt  gcat  gnatcn  genv  gglobe ";"africaz  zimbab  dvpcoz  souafrz   gclimt  gcat  gnatcn  genv  gglobe ";660;"Youth Urge World Leaders to Adopt Climate Treaty"
"185";"AFNWS00020201117egbh0018i";2020-11-17;"New Frame";"Anglais";"Steven Friedman";"analysis";"usa  namz ";"";"gvote  gpol  gcat  gpir ";"usa  namz   gvote  gpol  gcat  gpir ";1256;"U.S. Elections Expose Flaws in Western Democracy"
"186";"AFNWS00020201113egbd001s8";2020-11-13;"263Chat";"Anglais";"Donald Nyarota";"news | Zimbabwe";"zimbab  africaz  dvpcoz  souafrz ";"";"gclimt  gglobe  ghum  gcat  gcom  genv ";"zimbab  africaz  dvpcoz  souafrz   gclimt  gglobe  ghum  gcat  gcom  genv ";511;"Youth Symposium On Climate Change Adaptation Kicks Off"
"187";"AFNWS00020201026egaq0015p";2020-10-26;"New Frame";"Anglais";"Laura López González, Anastasya Eliseeva";"analysis";"africaz ";"";"gsars  gout  c133  gimmu  ccat  cgymtr  cinprp  gcat  gcold  ghea  gmed  gspox  gtrea ";"africaz   gsars  gout  c133  gimmu  ccat  cgymtr  cinprp  gcat  gcold  ghea  gmed  gspox  gtrea ";2120;"Wheeling and Dealing for a Covid-19 Vaccine"
"188";"AFNWS00020201015egaf000h1";2020-10-15;"The Conversation Africa";"Anglais";"Cobus Van Staden and Nicky Falkof";"analysis | South Africa";"safr  johan  africaz  bric  devgcoz  dvpcoz  souafrz ";"";"";"safr  johan  africaz  bric  devgcoz  dvpcoz  souafrz   ";978;"Anxiety in Johannesburg - New Views On a Global South City"
"189";"AFNWS00020200929eg9t000b7";2020-09-29;"Inter Press Service";"Anglais";"Tove Maria Ryding, Pooja Rangaprasad and Emilia Reyes";"New York | opinion";"africaz ";"";"gsars  ecat  gcat  gout  gglobe  ghum  gcold  gcom  ghea  gmed  gspox ";"africaz   gsars  ecat  gcat  gout  gglobe  ghum  gcold  gcom  ghea  gmed  gspox ";1024;"No More Excuses - Time for Global Economic Solutions"
"190";"AFNWS00020200730eg7u0070t";2020-07-30;"Africa Renewal";"Anglais";"";"opinion";"africaz  kenya  dvpcoz  eafrz ";"afriu  utdnat ";"gpir  gdip  gcat ";"africaz  kenya  dvpcoz  eafrz  afriu  utdnat  gpir  gdip  gcat ";1512;"Empowered Women Can Unlock Africa's Dormant Development Dividends"
"191";"AFNWS00020200724eg7o00414";2020-07-24;"Brand South Africa";"Anglais";"";"news | South Africa";"china  chgdu  safr  sichu  africaz  apacz  asiaz  bric  chinaz  devgcoz  dvpcoz  easiaz  souafrz ";"";"";"china  chgdu  safr  sichu  africaz  apacz  asiaz  bric  chinaz  devgcoz  dvpcoz  easiaz  souafrz   ";457;"Nelson Mandela Appreciation Dinner, Mzansi-Style in China"
"192";"AFNWS00020200718eg7i00209";2020-07-18;"Inter Press Service";"Anglais";"Guillaume Lafortune, Finn Woelm, Grayson Fuller, and Alyson Marks";"Paris/New York | news";"lamz  india  fra  asiaz  bric  devgcoz  dvpcoz  eecz  eurz  indsubz  medz  sasiaz  weurz ";"";"gsars  gout  gglobe  gsust  gcat  gcold  genv  ghea  gmed  gspox ";"lamz  india  fra  asiaz  bric  devgcoz  dvpcoz  eecz  eurz  indsubz  medz  sasiaz  weurz   gsars  gout  gglobe  gsust  gcat  gcold  genv  ghea  gmed  gspox ";1061;"The SDGs, COVID-19 and the Global South - Insights From the Sustainable Development Report 2020"
"193";"AFNWS00020200420eg4k00b19";2020-04-20;"The Conversation";"Anglais";"Stuart Gillespie";"analysis";"africaz ";"";"gout  gsars  gglobe  gnutr  gcat  gcold  gfod  ghea  glife  gmed  gspox ";"africaz   gout  gsars  gglobe  gnutr  gcat  gcold  gfod  ghea  glife  gmed  gspox ";790;"Malnutrition and Epidemics Are Intertwined. That Makes Fixing Food Systems Crucial"
"194";"AFNWS00020200331eg3v00262";2020-03-31;"Medecins Sans Frontieres";"Anglais";"";"document";"indon  usa  apacz  asiaz  devgcoz  dvpcoz  namz  seasiaz ";"gilsci ";"gsars  gout  gtrea  gcat  gcold  ghea  gmed  gspox ";"indon  usa  apacz  asiaz  devgcoz  dvpcoz  namz  seasiaz  gilsci  gsars  gout  gtrea  gcat  gcold  ghea  gmed  gspox ";3111;"Open Letter to Gilead - Global Civil Society Calls For No Patents or Exclusivities on Potential COVID-19 Treatment"
"195";"AFNWS00020200330eg3u00b42";2020-03-30;"African Arguments";"Anglais";"";"analysis | Sierra Leone";"silen  africaz  dvpcoz  wafrz ";"";"gout  gsars  e213  gglobe  e11  e211  e21  ecat  gcat  gcold  ghea  gmed  gspox ";"silen  africaz  dvpcoz  wafrz   gout  gsars  e213  gglobe  e11  e211  e21  ecat  gcat  gcold  ghea  gmed  gspox ";1673;"Fill the Gaps, Feel the Pain: Insights from Sierra Leone on an Epidemic's Impact on Local Taxation, Public Services, and the Poor"
"196";"AFNWS00020200301eg31000b9";2020-03-01;"The Conversation";"Anglais";"Federico Demaria and Marcos Todt";"analysis";"africaz ";"";"ccat  reqevr  redit  reqr ";"africaz   ccat  reqevr  redit  reqr ";944;"How Waste Pickers in the Global South Are Being Sidelined By New Policies"
"197";"AFNWS00020200129eg1t000e0";2020-01-29;"Inter Press Service";"Anglais";"Joyce Chimbi";"Djibouti City | news | Djibouti";"djcity  tai  africaz  dvpcoz  eafrz ";"";"gscho  gedu  gwori  gcat  gcom  ghum ";"djcity  tai  africaz  dvpcoz  eafrz   gscho  gedu  gwori  gcat  gcom  ghum ";1218;"Balanced and Gender-Inclusive Education Is a Smart Investment"
